"STATION","NAME","DATE","DX70","DX90","EMSN","EMXP","EMXT","SNOW","TAVG"
"USC00190736","BLUE HILL, MA US","1924-11","1","0","1.0","1.09","71","1.3","42.0"
"USC00190736","BLUE HILL, MA US","1924-12","0","0","0.3","0.61","58","0.9","25.8"
"USC00190736","BLUE HILL, MA US","1925-01","0","0","10.0","1.12","42","28.1","22.5"
"USC00190736","BLUE HILL, MA US","1925-02","0","0","0.9","1.01","56","1.0","33.8"
"USC00190736","BLUE HILL, MA US","1925-03","0","0","0.6","1.22","67","1.2","38.8"
"USC00190736","BLUE HILL, MA US","1925-04","4","0","3.0","1.10","81","3.3","46.7"
"USC00190736","BLUE HILL, MA US","1925-05","7","0",,"0.68","79",,"54.7"
"USC00190736","BLUE HILL, MA US","1925-06","28","4",,"0.60","95",,"70.0"
"USC00190736","BLUE HILL, MA US","1925-07","30","1",,"1.54","93",,"70.6"
"USC00190736","BLUE HILL, MA US","1925-08","29","0",,"0.60","88",,"70.2"
"USC00190736","BLUE HILL, MA US","1925-09","16","0",,"2.61","87",,"62.9"
"USC00190736","BLUE HILL, MA US","1925-10","1","0",,"1.05","78",,"47.4"
"USC00190736","BLUE HILL, MA US","1925-11","0","0","0.1","1.36","64","0.1","41.3"
"USC00190736","BLUE HILL, MA US","1925-12","0","0","1.5","1.90","59","2.9","30.4"
"USC00190736","BLUE HILL, MA US","1926-01","0","0","5.5","0.66","54","8.1","28.1"
"USC00190736","BLUE HILL, MA US","1926-02","0","0","14.5","1.80","46","34.7","24.5"
"USC00190736","BLUE HILL, MA US","1926-03","0","0","2.3","0.82","57","9.1","30.3"
"USC00190736","BLUE HILL, MA US","1926-04","2","0","0.5","0.77","77","0.6","41.5"
"USC00190736","BLUE HILL, MA US","1926-05","7","0",,"1.90","80",,"53.6"
"USC00190736","BLUE HILL, MA US","1926-06","17","0",,"0.66","84",,"61.2"
"USC00190736","BLUE HILL, MA US","1926-07","25","3",,"1.42","99",,"69.5"
"USC00190736","BLUE HILL, MA US","1926-08","26","1",,"3.32","91",,"68.4"
"USC00190736","BLUE HILL, MA US","1926-09","14","0",,"0.45","86",,"60.9"
"USC00190736","BLUE HILL, MA US","1926-10","5","0","0.0","1.47","80","0.0","51.1"
"USC00190736","BLUE HILL, MA US","1926-11","1","0","0.0","0.97","70","0.0","41.8"
"USC00190736","BLUE HILL, MA US","1926-12","0","0","11.0","1.15","50","27.3","26.2"
"USC00190736","BLUE HILL, MA US","1927-01","0","0","10.2",,"48","17.6","26.9"
"USC00190736","BLUE HILL, MA US","1927-02","0","0",,"0.89","49",,"29.7"
"USC00190736","BLUE HILL, MA US","1927-03","0","0","0.5","0.84","66","0.7","38.7"
"USC00190736","BLUE HILL, MA US","1927-04","4","0","0.5","0.57","88","0.5","45.9"
"USC00190736","BLUE HILL, MA US","1927-05","3","0",,,"75",,"53.3"
"USC00190736","BLUE HILL, MA US","1927-06","18","0",,"0.61","86",,"62.3"
"USC00190736","BLUE HILL, MA US","1927-07","25","3",,"1.18","92",,"69.6"
"USC00190736","BLUE HILL, MA US","1927-08","23","0",,"3.61","82",,"65.2"
"USC00190736","BLUE HILL, MA US","1927-09","18","0",,"1.62","82",,"62.3"
"USC00190736","BLUE HILL, MA US","1927-10","9","0",,"2.48","85",,"55.0"
